datetime,low,high,trading_date,open,total_turnover,close,open_interest,volume,dominant_id,pos,base_balance,chg,strategy_balance,drawdown,return,empty,long,short
2020-01-02 09:30:00,91.105,91.205,2020-1-2,91.18,5457473050,91.14,75951,5566,T2003,0.0,1.0,,1.0,0.0,0.0,91.14,,
2020-01-02 09:45:00,91.13,91.16,2020-1-2,91.14,1749297450,91.14,76051,1784,T2003,0.0,1.0,0.0,1.0,0.0,0.0,91.14,,
2020-01-02 10:00:00,91.14,91.17,2020-1-2,91.14,2025113950,91.145,76199,2065,T2003,0.0,1.000054860653939,5.486065393900397e-05,1.0,0.0,0.0,91.145,,
2020-01-02 10:15:00,91.145,91.205,2020-1-2,91.145,1930413850,91.195,76258,1968,T2003,0.0,1.0006034671933288,0.0005485764441275354,1.0,0.0,0.0,91.195,,
2020-01-02 10:30:00,91.185,91.215,2020-1-2,91.195,1681597650,91.185,76092,1714,T2003,0.0,1.000493745885451,-0.00010965513460159393,1.0,0.0,0.0,91.185,,
2020-01-02 10:45:00,91.15,91.195,2020-1-2,91.185,1662591800,91.155,76104,1695,T2003,0.0,1.000164581961817,-0.0003290014805066299,1.0,0.0,0.0,91.155,,
2020-01-02 11:00:00,91.135,91.18,2020-1-2,91.155,2262427600,91.16,76532,2307,T2003,0.0,1.000219442615756,5.4851626350771454e-05,1.0,0.0,0.0,91.16,,
2020-01-02 11:15:00,91.135,91.17,2020-1-2,91.16,1135577250,91.145,76627,1158,T2003,0.0,1.000054860653939,-0.00016454585344449768,1.0,0.0,0.0,91.145,,
2020-01-02 11:30:00,91.045,91.15,2020-1-2,91.145,4442487400,91.08,76680,4533,T2003,0.0,0.9993416721527321,-0.0007131493773656628,1.0,0.0,0.0,91.08,,
2020-01-02 13:15:00,91.03,91.095,2020-1-2,91.08,2106330300,91.09,76681,2150,T2003,0.0,0.9994513934606101,0.00010979358805451866,1.0,0.0,0.0,91.09,,
2020-01-02 13:30:00,91.065,91.115,2020-1-2,91.09,1661092850,91.07,76975,1695,T2003,0.0,0.9992319508448539,-0.0002195630694917794,1.0,0.0,0.0,91.07,,
2020-01-02 13:45:00,91.06,91.1,2020-1-2,91.07,1132739550,91.075,77110,1156,T2003,0.0,0.9992868114987931,5.490282200515395e-05,1.0,0.0,0.0,91.075,,
2020-01-02 14:00:00,91.07,91.105,2020-1-2,91.075,950596650,91.09,77155,970,T2003,0.0,0.9994513934606101,0.00016469942355201717,1.0,0.0,0.0,91.09,,
2020-01-02 14:15:00,91.08,91.11,2020-1-2,91.09,732102650,91.1,77212,747,T2003,0.0,0.999561114768488,0.00010978153474572316,1.0,0.0,0.0,91.1,,
